,date,states,default rate,default counts
0,Apr-2011,AK,0.5,1.0
1,Apr-2012,AK,0.3333333333333333,1.0
2,Apr-2013,AK,0.3333333333333333,1.0
3,Apr-2014,AK,0.1,1.0
4,Apr-2015,AK,0.2,7.0
5,Apr-2016,AK,0.2708333333333333,13.0
6,Apr-2017,AK,0.25,16.0
7,Apr-2018,AK,0.22972972972972974,17.0
8,Apr-2019,AK,0.04716981132075472,5.0
9,Aug-2010,AK,0.3333333333333333,1.0
10,Aug-2012,AK,0.0,0.0
11,Aug-2013,AK,0.0,0.0
12,Aug-2014,AK,0.125,1.0
13,Aug-2015,AK,0.18181818181818182,6.0
14,Aug-2016,AK,0.234375,15.0
15,Aug-2017,AK,0.23333333333333334,14.0
16,Aug-2018,AK,0.18571428571428572,13.0
17,Aug-2019,AK,0.0,0.0
18,Dec-2012,AK,0.0,0.0
19,Dec-2013,AK,0.2727272727272727,3.0
20,Dec-2014,AK,0.058823529411764705,1.0
21,Dec-2015,AK,0.2553191489361702,12.0
22,Dec-2016,AK,0.3023255813953488,26.0
23,Dec-2017,AK,0.17857142857142858,10.0
24,Dec-2018,AK,0.13114754098360656,8.0
25,Feb-2012,AK,0.0,0.0
26,Feb-2013,AK,0.2,1.0
27,Feb-2014,AK,0.0,0.0
28,Feb-2015,AK,0.10526315789473684,2.0
29,Feb-2016,AK,0.22807017543859648,13.0
30,Feb-2017,AK,0.21568627450980393,11.0
31,Feb-2018,AK,0.11864406779661017,7.0
32,Feb-2019,AK,0.1927710843373494,16.0
33,Jan-2011,AK,0.0,0.0
34,Jan-2012,AK,0.0,0.0
35,Jan-2013,AK,0.2,1.0
36,Jan-2014,AK,0.35294117647058826,6.0
37,Jan-2015,AK,0.09523809523809523,2.0
38,Jan-2016,AK,0.16,8.0
39,Jan-2017,AK,0.22807017543859648,13.0
40,Jan-2018,AK,0.125,9.0
41,Jan-2019,AK,0.18421052631578946,14.0
42,Jul-2011,AK,0.5,1.0
43,Jul-2012,AK,0.25,1.0
44,Jul-2013,AK,0.375,3.0
45,Jul-2014,AK,0.058823529411764705,1.0
46,Jul-2015,AK,0.16666666666666666,8.0
47,Jul-2016,AK,0.2641509433962264,14.0
