,Date,Mkt-RF,SMB,HML,RMW,CMA,RF
0,1965-03-31,-1.34,2.03,1.09,-0.3,0.73,0.36
1,1965-04-30,3.11,1.18,0.71,0.26,-2.3,0.31
2,1965-05-31,-0.77,0.06,-1.63,-0.37,0.7,0.31
3,1965-06-30,-5.51,-4.3,0.55,0.12,0.41,0.35
4,1965-07-31,1.43,1.07,2.18,-1.41,-0.02,0.31
5,1965-08-31,2.73,2.72,-0.96,2.06,-0.76,0.33
6,1965-09-30,2.86,0.62,-0.1,-0.82,0.82,0.31
7,1965-10-31,2.6,3.42,1.52,1.22,-0.76,0.31
8,1965-11-30,-0.03,5.19,0.21,-1.06,-0.9,0.35
9,1965-12-31,1.01,2.64,1.95,-1.28,-0.45,0.33
10,1966-01-31,0.72,4.72,3.49,-2.83,-0.07,0.38
11,1966-02-28,-1.21,4.86,0.27,-0.15,-1.44,0.35
12,1966-03-31,-2.51,0.22,-2.07,1.3,-0.01,0.38
13,1966-04-30,2.14,3.36,-0.54,0.41,-0.91,0.34
14,1966-05-31,-5.66,-5.18,-1.55,1.66,-1.52,0.41
15,1966-06-30,-1.44,1.34,0.5,0.06,0.8,0.38
16,1966-07-31,-1.63,-0.5,0.96,-0.45,1.77,0.35
17,1966-08-31,-7.91,-3.03,0.47,0.05,0.77,0.41
18,1966-09-30,-1.06,-1.18,0.53,-1.65,2.5,0.4
19,1966-10-31,3.86,-6.53,2.87,-3.64,4.28,0.45
20,1966-11-30,1.4,3.37,-4.46,4.17,-6.53,0.4
21,1966-12-31,0.13,1.91,-1.22,0.68,-0.13,0.4
22,1967-01-31,8.15,9.0,2.22,0.62,-2.97,0.43
23,1967-02-28,0.78,3.03,-2.17,1.94,-0.94,0.36
24,1967-03-31,3.99,1.9,0.31,0.9,-1.51,0.39
25,1967-04-30,3.89,0.46,-2.64,2.43,-3.75,0.32
26,1967-05-31,-4.33,2.37,0.8,-1.75,1.61,0.33
27,1967-06-30,2.41,6.46,0.96,-0.64,-2.39,0.27
28,1967-07-31,4.58,3.48,2.65,0.51,2.72,0.31
29,1967-08-31,-0.89,0.76,1.46,0.42,1.41,0.31
30,1967-09-30,3.11,2.46,-2.47,0.22,-0.95,0.32
31,1967-10-31,-3.09,0.47,-3.39,0.81,-2.55,0.39
32,1967-11-30,0.37,-0.06,-1.71,1.29,-2.29,0.36
33,1967-12-31,3.05,5.75,-0.39,-0.65,0.03,0.33
34,1968-01-31,-4.06,4.49,4.75,-4.58,6.45,0.4
35,1968-02-29,-3.75,-2.91,1.17,-0.14,2.49,0.39
36,1968-03-31,0.2,-1.52,-0.59,1.17,-1.15,0.38
37,1968-04-30,9.05,6.25,-1.03,2.79,-3.66,0.43
38,1968-05-31,2.28,7.04,0.84,0.39,-1.82,0.45
39,1968-06-30,0.69,-0.26,0.67,-1.33,2.68,0.43
40,1968-07-31,-2.72,-1.33,5.48,-3.0,3.61,0.48
41,1968-08-31,1.34,2.29,1.0,-0.6,0.4,0.42
42,1968-09-30,4.03,2.77,0.24,-2.03,0.92,0.43
43,1968-10-31,0.42,-0.43,2.89,-1.3,2.81,0.44
44,1968-11-30,5.43,2.41,-0.9,0.46,-2.52,0.42
45,1968-12-31,-3.94,3.6,0.02,-1.78,1.65,0.43
46,1969-01-31,-1.25,-0.46,1.69,-1.54,1.41,0.53
47,1969-02-28,-5.84,-4.12,0.9,2.17,0.8,0.46
48,1969-03-31,2.64,-0.41,-0.46,-1.34,-0.42,0.46
49,1969-04-30,1.46,-0.83,0.03,0.38,0.06,0.53
50,1969-05-31,-0.1,-0.18,0.73,-0.97,1.49,0.48
51,1969-06-30,-7.18,-5.49,-1.09,4.26,-1.55,0.51
52,1969-07-31,-7.0,-3.37,1.42,1.4,1.97,0.53
53,1969-08-31,4.68,0.71,-3.87,1.16,-4.08,0.5
54,1969-09-30,-2.98,1.29,-3.19,3.42,-0.83,0.62
55,1969-10-31,5.06,3.89,-3.19,0.01,-2.03,0.6
56,1969-11-30,-3.79,-2.41,-1.12,1.44,0.32,0.52
57,1969-12-31,-2.63,-3.7,-3.02,2.47,-2.04,0.64
58,1970-01-31,-8.1,3.09,3.04,-1.77,3.92,0.6
59,1970-02-28,5.13,-2.58,4.04,-2.28,3.06,0.62
60,1970-03-31,-1.06,-2.4,4.25,-0.87,4.43,0.57
61,1970-04-30,-11.0,-6.3,6.39,-0.64,5.88,0.5
62,1970-05-31,-6.92,-4.42,3.6,-1.3,3.62,0.53
63,1970-06-30,-5.79,-2.17,0.87,0.19,2.9,0.58
64,1970-07-31,6.93,-0.69,0.96,-0.07,1.9,0.52
65,1970-08-31,4.49,1.54,1.03,0.57,-0.15,0.53
